No,year,month,day,hour,PM25,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
76,2013,3,4,3,12,34,6,12,NA,77,7.2,1016.9,-11.6,0,N,2.8,Aotizhongxin
125,2013,3,6,4,192,203,83.6808,140.4252,NA,22,3.9,1007.3,-6.1,0,NE,1.4,Aotizhongxin
172,2013,3,8,3,324,373,71,154,NA,84,1.8,997.9,-1.8,0,N,0,Aotizhongxin
179,2013,3,8,10,326,844,125.9496,179.2269,NA,84,19.1,1000.9,-0.4,0,SSW,1.9,Aotizhongxin
268,2013,3,12,3,117,127,73,81,NA,47,6.4,1005.8,-1,0.1,N,2.2,Aotizhongxin
364,2013,3,16,3,304,332,55,108,NA,44,5.6,1017,0.4,0,WNW,1,Aotizhongxin
436,2013,3,19,3,33,41,15,50,NA,NA,0.8,1005.8,-3,0,ENE,1.5,Aotizhongxin
437,2013,3,19,4,31,35,15,49,NA,NA,0.1,1005.4,-3.5,0,N,1.4,Aotizhongxin
438,2013,3,19,5,29,31,13,62,NA,11,0.1,1005.4,-3.8,0,NNE,1.3,Aotizhongxin
439,2013,3,19,6,32,39,13,62,NA,10,0.4,1006.6,-2.8,0,NNE,1.1,Aotizhongxin
440,2013,3,19,7,30,36,10,60,NA,6,1.6,1007,-2.4,0,NNE,1.7,Aotizhongxin
441,2013,3,19,8,34,56,11,58,NA,10,3,1007.4,-2.9,0,NE,2.7,Aotizhongxin
442,2013,3,19,9,38,57,26,51,NA,18,2.6,1008.2,-3.5,0,NNE,2.9,Aotizhongxin
532,2013,3,23,3,51,70,12,85,NA,NA,1.5,1008.5,-2.5,0,WNW,0.6,Aotizhongxin
533,2013,3,23,4,44,71,10,85,NA,2,0.8,1007.7,-2.3,0,N,1.3,Aotizhongxin
534,2013,3,23,5,44,71,10,76,NA,2,0.8,1007.5,-2.1,0,NE,1.1,Aotizhongxin
535,2013,3,23,6,51,69,8,70,NA,2,1,1007.4,-1.9,0,NNE,1.5,Aotizhongxin
536,2013,3,23,7,53,71,8,65,NA,2,1.8,1006.4,-3.1,0,SSW,2.1,Aotizhongxin
537,2013,3,23,8,62,75,12,65,NA,2,3.4,1005.3,-4.6,0,ESE,2.3,Aotizhongxin
538,2013,3,23,9,78,105,32,69,NA,2,4.5,1005.4,-5,0,NE,1.5,Aotizhongxin
539,2013,3,23,10,79,104,70,72,NA,10,4.2,1005.2,-4.5,0,NNE,1.9,Aotizhongxin
540,2013,3,23,11,80,111,83,70,NA,17,5,1004.8,-4.6,0,NE,4.1,Aotizhongxin
541,2013,3,23,12,81,111,76,66,NA,22,5.1,1004.4,-5,0,N,0.9,Aotizhongxin
542,2013,3,23,13,77,110,78,70,NA,24,7.4,1003.8,-3.8,0,ENE,0.8,Aotizhongxin
543,2013,3,23,14,84,105,74,70,NA,25,10.3,1003.4,-3.1,0,ENE,2.3,Aotizhongxin
544,2013,3,23,15,89,132,75,72,NA,27,10.6,1004.8,-3.5,0,NE,1.3,Aotizhongxin
545,2013,3,23,16,86,165,67,72,NA,29,11.9,1006,-7.5,0,NNW,8.3,Aotizhongxin
546,2013,3,23,17,63,234,33,46,NA,51,9,1008.2,-8.6,0,NNE,3.7,Aotizhongxin
547,2013,3,23,18,18,114,7,12,NA,75,7.1,1010.5,-10.2,0,NNE,4.1,Aotizhongxin
548,2013,3,23,19,14,56,4,16,NA,70,6,1012.8,-12.6,0,NNE,4.3,Aotizhongxin
